,rssi_0,eta_1,eta_2,eta_3,eta_4
10072,67,3.40483592092,7.76902294274,10.0523888437,1.18639598743
10073,67,3.40483592092,7.76902294274,10.0523888437,1.18639598743
10074,69,3.40483592092,7.76902294274,10.0523888437,1.18639598743
10075,69,3.27388069319,7.76902294274,9.42411454096,1.18639598743
10076,69,3.27388069319,7.76902294274,9.42411454096,1.18639598743
10077,69,3.27388069319,7.76902294274,9.42411454096,1.18639598743
10078,70,3.27388069319,7.76902294274,9.42411454096,1.18639598743
10079,70,3.27388069319,7.76902294274,9.42411454096,1.18639598743
10080,70,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10081,70,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10082,72,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10083,72,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10084,72,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10085,72,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10086,72,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10087,72,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10088,72,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10089,72,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10090,72,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10091,69,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10092,69,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10093,69,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10094,69,3.27388069319,7.63029039019,9.42411454096,0.949116789946
10095,69,3.27388069319,7.63029039019,9.42411454096,1.18639598743
10096,69,3.27388069319,7.63029039019,9.42411454096,1.18639598743
10097,69,3.27388069319,7.63029039019,9.42411454096,1.18639598743
10098,69,3.27388069319,7.63029039019,9.42411454096,1.18639598743
10099,70,3.27388069319,7.63029039019,9.42411454096,1.18639598743
10100,73,3.14292546546,7.63029039019,9.42411454096,1.42367518492
10101,77,3.14292546546,7.63029039019,9.42411454096,1.42367518492
10102,79,3.14292546546,7.63029039019,9.42411454096,1.42367518492
10103,81,3.14292546546,7.63029039019,9.42411454096,1.42367518492
10104,81,3.14292546546,7.63029039019,9.42411454096,1.42367518492
10105,81,3.27388069319,7.49155783764,9.42411454096,1.42367518492
10106,81,3.27388069319,7.49155783764,9.42411454096,1.42367518492
10107,81,3.27388069319,7.49155783764,9.42411454096,1.42367518492
10108,79,3.27388069319,7.49155783764,9.42411454096,1.42367518492
10109,80,3.27388069319,7.49155783764,9.42411454096,1.42367518492
10110,80,3.27388069319,7.21409273255,8.79584023823,1.6609543824
10111,75,3.27388069319,7.21409273255,8.79584023823,1.6609543824
10112,77,3.27388069319,7.21409273255,8.79584023823,1.6609543824
10113,68,3.27388069319,7.21409273255,8.79584023823,1.6609543824
10114,68,3.27388069319,7.21409273255,8.79584023823,1.6609543824
10115,78,3.27388069319,7.76902294274,9.63353930853,0.711837592459
10116,75,3.27388069319,7.76902294274,9.63353930853,0.711837592459
10117,67,3.27388069319,7.76902294274,9.63353930853,0.711837592459
10118,70,3.27388069319,7.76902294274,9.63353930853,0.711837592459
10119,70,3.27388069319,7.76902294274,9.63353930853,0.711837592459
10120,68,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10121,66,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10122,66,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10123,65,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10124,65,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10125,65,3.27388069319,7.90775549529,9.42411454096,0.0
10126,65,3.27388069319,7.90775549529,9.42411454096,0.0
10127,64,3.27388069319,7.90775549529,9.42411454096,0.0
10128,64,3.27388069319,7.90775549529,9.42411454096,0.0
10129,65,3.27388069319,7.90775549529,9.42411454096,0.0
10130,64,3.27388069319,8.18522060039,9.42411454096,0.711837592459
10131,64,3.27388069319,8.18522060039,9.42411454096,0.711837592459
10132,64,3.27388069319,8.18522060039,9.42411454096,0.711837592459
10133,64,3.27388069319,8.18522060039,9.42411454096,0.711837592459
10134,66,3.27388069319,8.18522060039,9.42411454096,0.711837592459
10135,66,3.27388069319,7.63029039019,9.42411454096,0.237279197486
10136,66,3.27388069319,7.63029039019,9.42411454096,0.237279197486
10137,67,3.27388069319,7.63029039019,9.42411454096,0.237279197486
10138,67,3.27388069319,7.63029039019,9.42411454096,0.237279197486
10139,67,3.27388069319,7.63029039019,9.42411454096,0.237279197486
10140,67,3.27388069319,7.63029039019,10.2618136113,1.18639598743
10141,67,3.27388069319,7.63029039019,10.2618136113,1.18639598743
10142,68,3.27388069319,7.63029039019,10.2618136113,1.18639598743
10143,69,3.27388069319,7.63029039019,10.2618136113,1.18639598743
10144,70,3.27388069319,7.63029039019,10.2618136113,1.18639598743
10145,72,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10146,72,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10147,75,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10148,76,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10149,78,3.27388069319,7.63029039019,9.63353930853,1.18639598743
10150,80,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10151,79,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10152,79,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10153,79,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10154,79,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10155,79,3.01197023773,7.76902294274,9.42411454096,0.237279197486
10156,79,3.01197023773,7.76902294274,9.42411454096,0.237279197486
10157,78,3.01197023773,7.76902294274,9.42411454096,0.237279197486
10158,77,3.01197023773,7.76902294274,9.42411454096,0.237279197486
10159,77,3.01197023773,7.76902294274,9.42411454096,0.237279197486
10160,77,2.75005978228,8.32395315294,10.0523888437,1.18639598743
10161,76,2.75005978228,8.32395315294,10.0523888437,1.18639598743
10162,75,2.75005978228,8.32395315294,10.0523888437,1.18639598743
10163,75,2.75005978228,8.32395315294,10.0523888437,1.18639598743
10164,75,2.75005978228,8.32395315294,10.0523888437,1.18639598743
10165,74,3.01197023773,7.76902294274,9.42411454096,1.42367518492
10166,73,3.01197023773,7.76902294274,9.42411454096,1.42367518492
10167,73,3.01197023773,7.76902294274,9.42411454096,1.42367518492
10168,73,3.01197023773,7.76902294274,9.42411454096,1.42367518492
10169,73,3.01197023773,7.76902294274,9.42411454096,1.42367518492
10170,72,2.75005978228,7.63029039019,10.2618136113,1.18639598743
10171,72,2.75005978228,7.63029039019,10.2618136113,1.18639598743
10172,72,2.75005978228,7.63029039019,10.2618136113,1.18639598743
10173,72,2.75005978228,7.63029039019,10.2618136113,1.18639598743
10174,72,2.75005978228,7.63029039019,10.2618136113,1.18639598743
10175,71,3.27388069319,7.63029039019,9.21468977338,1.6609543824
10176,71,3.27388069319,7.63029039019,9.21468977338,1.6609543824
10177,72,3.27388069319,7.63029039019,9.21468977338,1.6609543824
10178,72,3.27388069319,7.63029039019,9.21468977338,1.6609543824
10179,72,3.27388069319,7.63029039019,9.21468977338,1.6609543824
10180,72,3.27388069319,7.63029039019,9.84296407611,2.13551277738
10181,72,3.27388069319,7.63029039019,9.84296407611,2.13551277738
10182,71,3.27388069319,7.63029039019,9.84296407611,2.13551277738
10183,71,3.27388069319,7.63029039019,9.84296407611,2.13551277738
10184,71,3.27388069319,7.63029039019,9.84296407611,2.13551277738
10185,70,3.27388069319,7.63029039019,9.42411454096,1.6609543824
10186,70,3.27388069319,7.63029039019,9.42411454096,1.6609543824
10187,70,3.27388069319,7.63029039019,9.42411454096,1.6609543824
10188,69,3.27388069319,7.63029039019,9.42411454096,1.6609543824
10189,68,3.27388069319,7.63029039019,9.42411454096,1.6609543824
10190,67,3.27388069319,7.63029039019,10.2618136113,2.37279197486
